AE,OP,LG,Sex,c,LW,pH,IMF,PFat
1,1,1,1,1,1790,5.64,1.089,9.2
1,1,1,1,2,1795,5.45,1.118,12.4
1,1,1,1,3,1505,99999,0.939,3.1
1,1,1,1,4,1870,5.64,1.229,13.82
1,1,1,1,5,1725,5.51,1.068,7.01
1,1,1,1,6,1570,5.44,1.439,8.2
1,1,1,1,7,1780,5.47,1.359,9.7
1,1,1,1,8,1675,5.45,1.066,7.81
1,1,1,1,9,1870,5.53,1.261,16.51
1,1,1,1,10,1500,5.5,1.017,4.95
1,1,1,1,11,1730,5.48,1.11,8.5
1,1,1,1,12,1660,5.52,1.055,7.06
1,1,1,1,13,1895,5.5,1.156,13.5
1,1,1,1,14,1890,5.58,1.192,10.16
1,1,1,1,15,1750,5.51,1.317,8.5
1,1,1,1,16,1715,5.46,1.254,7.08
1,1,1,1,17,1950,5.51,1.3,11.5
1,1,1,1,18,1980,5.47,0.935,9.73
1,1,1,1,19,1805,5.43,1.286,8.91
1,1,1,1,20,1970,5.45,1.237,16.73
1,1,1,1,21,1960,5.51,1.145,10
1,1,1,1,22,1900,5.57,1.318,16.38
1,1,1,1,23,1740,5.56,1.298,8.41
1,1,1,1,24,1920,5.63,1.326,7.87
1,1,1,1,25,1845,5.6,1.434,12.5
1,1,1,1,26,1685,5.64,1.123,6.51
1,1,1,1,27,2150,5.66,1.088,14.9
1,1,1,1,28,1570,5.55,1.109,9.43
1,1,1,1,29,1745,5.55,1.267,11.34
1,1,1,1,30,1885,5.47,1.388,10.84
1,1,1,1,31,1900,5.54,1.251,16.73
1,1,1,1,32,1760,5.44,1.29,7.53
1,1,1,1,33,1805,5.47,1.288,10.58
1,1,1,1,34,1795,5.45,1.309,13.65
1,1,1,1,35,1865,5.39,99999,10.34
1,1,1,1,36,1780,5.56,1.026,10.67
1,2,1,1,37,1585,5.5,1.074,6.18
1,1,1,1,38,1885,5.38,1.1,8.98
1,1,1,1,39,1945,5.56,1.254,17.1
1,1,1,1,40,1640,5.5,1.315,7.47
1,1,1,1,41,1995,5.5,1.285,26.9
1,1,1,1,42,1835,5.44,1.4,8.7
1,1,1,1,43,1930,5.43,1.667,15.93
1,1,1,1,44,2075,5.47,1.302,12.06
1,1,1,1,45,1750,5.46,1.182,9.5
1,1,1,1,46,1685,5.45,1.28,8.07
1,1,1,1,47,1580,5.4,1.151,10.47
1,1,1,1,48,1675,5.38,1.266,14.15
1,1,1,1,49,1840,5.39,1.18,13.78
1,2,1,1,50,1895,5.46,1.603,17.96
1,1,1,1,51,1980,5.48,1.197,12.66
1,1,1,1,52,2040,5.39,0.945,12.29
1,2,1,1,53,1685,5.49,1.017,12.27
1,2,1,1,54,1660,5.47,1.072,6.79
1,1,1,1,55,1885,5.41,1.049,17.45
1,1,1,1,56,1960,5.63,0.891,13.47
1,1,1,1,57,1730,5.58,1.145,10.76
1,1,1,1,58,1715,5.5,1.366,12.39
1,1,1,1,59,2220,5.56,1.122,9.91
1,2,1,1,60,1665,5.44,1.52,8.25
1,1,1,1,61,1645,5.47,1.091,9.97
1,1,1,1,62,1720,5.62,1.472,10.63
1,1,1,1,63,1550,5.54,1.178,6.09
1,1,1,1,64,1700,5.42,1.102,10.1
1,1,1,1,65,1805,5.46,1.141,11.68
1,1,1,1,66,1720,5.42,1.344,12.06
1,1,1,1,67,1990,5.49,1.432,15.53
1,2,1,1,68,1990,5.7,1.158,14.78
1,1,1,1,69,1480,5.7,1.412,6.83
1,1,1,1,70,1975,5.72,1.245,14.85
1,1,1,1,71,1835,5.72,1.26,12.34
1,1,1,1,72,2015,5.73,1.042,13.47
1,1,1,1,73,1990,5.73,1.44,12.79
1,2,1,1,74,1730,5.47,1.176,10.52
1,3,1,1,75,1695,5.48,1.041,6.29
1,2,1,1,76,1750,5.53,1.172,8.72
1,1,1,1,77,1760,5.43,1.408,6.4
1,3,1,1,78,1630,5.47,1.296,6.13
1,1,1,1,79,1705,5.61,1.024,9
1,1,1,1,80,1645,5.59,1.096,8
1,1,1,1,81,1735,5.5,1.337,8.63
1,1,1,2,1,1565,5.4,1.328,10.9
1,1,1,2,2,1835,5.39,1.205,16.8
1,1,1,2,3,1620,5.47,1.073,4.3
1,1,1,2,4,1840,5.31,1.186,15.58
1,1,1,2,5,1740,5.48,1.071,7.75
1,1,1,2,6,1745,5.41,1.168,8.26
1,1,1,2,7,1690,5.52,1.085,7.25
1,1,1,2,8,1785,5.5,1.221,13.16
1,1,1,2,9,1815,5.6,1.265,12.8
1,1,1,2,10,1735,5.45,1.641,12
1,1,1,2,11,1790,5.4,1.298,10.87
1,1,1,2,12,1650,5.51,1.064,5.95
1,1,1,2,13,1925,5.47,1.417,17
1,1,1,2,14,1605,5.5,1.038,10
1,1,1,2,15,1700,5.6,1.15,7.4
1,1,1,2,16,1705,5.47,1.12,8.7
1,1,1,2,17,1600,5.5,1.062,4.48
1,1,1,2,18,1785,5.51,1.367,10.67
1,1,1,2,19,1705,5.47,1.059,7.93
1,1,1,2,20,1730,5.55,1.278,9.13
1,1,1,2,21,1945,5.62,1.32,14.14
1,1,1,2,22,2240,5.62,1.156,19
1,1,1,2,23,1950,5.47,1.26,11.83
1,1,1,2,24,1995,5.66,1.202,13.5
1,1,1,2,25,2075,5.6,1.192,19.92
1,1,1,2,26,2025,5.5,1.401,21.3
1,1,1,2,27,1940,5.58,1.308,13.5
1,1,1,2,28,1910,5.58,1.212,12.95
1,1,1,2,29,1835,5.53,1.319,13.64
1,1,1,2,30,1920,5.57,1.345,11.98
1,1,1,2,31,1915,5.46,1.335,10.42
1,1,1,2,32,1835,5.63,1.289,12.45
1,1,1,2,33,1620,5.67,1.162,8.48
1,1,1,2,34,1615,5.65,1.099,6.3
1,1,1,2,35,1770,5.66,1.31,12.34
1,1,1,2,36,1790,5.4,1.212,10.85
1,1,1,2,37,1895,5.46,1.42,13.59
1,1,1,2,38,1940,5.4,1.384,17.4
1,1,1,2,39,1920,5.4,99999,17.3
1,1,1,2,40,1840,5.5,1.154,15.64
1,2,1,2,41,1740,5.47,1.141,15.05
1,1,1,2,42,1855,5.57,1.36,12.71
1,1,1,2,43,2065,5.46,1.389,20.88
1,1,1,2,44,1525,5.52,1.158,7.92
1,1,1,2,45,1920,5.65,1.266,12.68
1,1,1,2,46,1855,5.49,1.011,20.02
1,1,1,2,47,2035,5.45,1.569,25.22
1,1,1,2,48,2080,5.42,1.309,15.12
1,1,1,2,49,1520,5.38,1.139,10.91
1,1,1,2,50,1720,5.47,1.107,10.75
1,1,1,2,51,1735,5.45,1.199,14.06
1,2,1,2,52,1705,5.42,1.314,13.49
1,1,1,2,53,2000,5.46,1.072,16.48
1,1,1,2,54,1935,5.44,1.061,12.29
1,2,1,2,55,1900,5.45,1.046,16.92
1,2,1,2,56,1755,5.46,1.031,6.94
1,1,1,2,57,1960,5.43,1.179,23.7
1,1,1,2,58,1900,5.61,0.988,13.68
1,1,1,2,59,1675,5.59,1.058,12.81
1,1,1,2,60,1625,5.58,1.022,7.82
1,1,1,2,61,2020,5.62,1.038,11.3
1,2,1,2,62,1695,5.49,1.43,14.26
1,1,1,2,63,1890,5.55,1.33,14
1,1,1,2,64,1735,5.41,1.246,10.4
1,1,1,2,65,1795,5.72,1.048,10.76
1,1,1,2,66,1680,5.43,1.198,17.75
1,1,1,2,67,1655,5.4,1.268,15.74
1,1,1,2,68,1808,5.42,1.26,13.47
1,1,1,2,69,1885,5.47,1.395,15.17
1,1,1,2,70,1745,5.5,1.259,13.79
1,1,1,2,71,1910,5.45,1.333,17.45
1,2,1,2,72,1880,5.71,1.334,17.53
1,1,1,2,73,1530,5.74,1.222,5.46
1,1,1,2,74,1775,5.75,1.22,13.37
1,1,1,2,75,1795,5.71,1.034,13.53
1,1,1,2,76,1780,5.76,1.063,10.75
1,1,1,2,77,1785,5.72,1.221,14.23
1,2,1,2,78,1745,5.47,1.054,10.65
1,3,1,2,79,1595,5.49,1.15,9.4
1,2,1,2,80,1610,5.53,1.09,11.9
1,1,1,2,81,1650,5.56,1.099,12.6
1,1,1,2,82,1430,5.58,1.052,6.67
1,1,1,2,83,1540,5.55,0.944,7.82
1,3,1,2,84,1700,5.43,1.126,8.6
1,1,1,2,85,1750,5.46,1.17,11.18
1,1,1,2,86,1640,5.46,1.074,7.75
1,1,1,2,87,1655,5.53,1.312,10.09
1,1,2,1,82,1770,5.54,1.245,14.26
